date,details,category
January 1,fire alarm activation – Sweet Rd.,fire alarm activation
January 1,fire alarm activation – Sweet Rd.,fire alarm activation
January 5,fire alarm activation – NYS Rt. 29,fire alarm activation
January 8,CO detector – Musket Dr,CO detector
January 11,EMS assist – Blodgett Rd,EMS assist
January 18,mutual aid given – Saratoga Springs,mutual aid given
January 19,fire alarm activation – Sweet Rd,fire alarm activation
January 20,EMS assist – Blodgett Rd,EMS assist
January 20,mutual aid given – Saratoga Springs,mutual aid given
January 21,mutual aid given – Arvin Hart,mutual aid given
January 22,mutual aid given – Arvin Hart,mutual aid given
February 3,EMS assist – Casey Rd,EMS assist
February 4,fire alarm activation – Hill Rd,fire alarm activation
February 8,fire alarm activation – Brown Rd,fire alarm activation
February 9,vehicle fire – Ruckytucks Rd,vehicle fire
February 10,EMS assist – Wilbur Rd,EMS assist
February 10,fire alarm activation – County Rd 70,fire alarm activation
February 17,fire alarm activation – County Rd 71,fire alarm activation
February 17,motor vehicle accident – Trombly Rd and Nielson Rd,motor vehicle accident
February 21,mutual aid given – Arvin Hart structure fire,mutual aid given
February 26,mutual aid given – Arvin Hart,mutual aid given
February 27,false activation – EMS assist,false activation
March 11,brush fire – NYS Rt 4S,brush fire
March 15,motor vehicle accident – Louden Rd,motor vehicle accident
March 22,EMS assist – County Rt 70,EMS assist
March 23,mutual aid given – Arvin Hart brush fire,mutual aid given
March 23,power lines – NYS Rt 29,power lines
March 30,EMS assist – Bryants Bridge Rd,EMS assist
April 11,power lines – NYS Rt 4,power lines
April 13,fire alarm activation – County Rt 71,fire alarm activation
April 16,mutual aid given – Arvin Hart,mutual aid given
April 17,motor vehicle accident -US Rt 4 S,motor vehicle accident
April 22,fire alarm activation – Stafford Bridge Rd,fire alarm activation
April 25,boat rescue – Saratoga Lake,boat rescue
April 28,CO detector – County Rd 68,CO detector
April 28,mutual aid given – Victory Mills,mutual aid given
April 29,mutual aid given – Arvin Hart,mutual aid given
May 1,file alarm activation – NYS Rt 9P,fire alarm activation
May 5,power lines – NYS Rt 9P,power lines
May 10,fire alarm activation – Franklin Beach Rd,fire alarm activation
May 10,motor vehicle accident – NYS Rt 32S,motor vehicle accident
May 11,fire alarm activation – Rogers La,fire alarm activation
May 25,fire alarm activation – Burgoyne Rd,fire alarm activation
May 28,CO detector – NYS Rt 9P,CO detector
May 30,mutual aid given – Arvin Hart,mutual aid given
May 30,motor vehicle accident – NYS Rt 9P,motor vehicle accident
May 30,fire alarm activation – County Rt 71,fire alarm activation
May 31,mutual aid given – Victory Mills - mill fire,mutual aid given
June 4,service call – Saratoga Lake,service call
June 6,EMS assist – Burgoyne Rd,EMS assist
June 7,motor vehicle accident – County Rts 70 & 71,motor vehicle accident
June 10,CO detector – Trask La,CO detector
June 11,boat rescue – Saratoga Lake,boat rescue
June 12,boat rescue – Saratoga Lake,boat rescue
June 23,power lines – NYS Rt 32,power lines
June 23,service call – Burgoyne Rd,service call
June 24,power lines – Wilbur Rd,power lines
June 30,power lines – Nielson Rd,power lines
